GEMEENTE	AUTO	Aantal Gebruikers	Aantal ritten	Duur ritten (min)	Duur reservering (min)	AFSTAND (km)	Verschil met doel (gebaseerd op km)	km gereden / duurtijd rit (uur)	Tijd gereden / Tijd gereserveerd	Opmerking																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Boechout	Partago Yanthe	8	25	10991	10599	1287.9	-20%	7.03	104%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Boechout	Partago Gerrit	11	17	4392	4260	612.9	-62%	8.37	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Bonheiden	Partago Rataplan	7	13	7035	6921	556	-65%	4.74	102%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Bonheiden	Partago Sunny	8	13	2924	2838	334	-79%	6.85	103%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Bonheiden	Partago Nala	5	8	2046	1923	155.3	-90%	4.55	106%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Brasschaat	Partago Karen	4	12	22937	22610	1803	13%	4.72	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Cesar	16	27	10567	9820	1769.5	11%	10.05	108%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Ronny	5	15	9057	8109	812.9	-49%	5.39	112%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Chopin	6	29	5115	4932	823.5	-49%	9.66	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Bert	7	16	6747	5525	584	-64%	5.19	122%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Gaston	12	21	5702	5137	504.8	-68%	5.31	111%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Melis	3	9	6051	5702	418.6	-74%	4.15	106%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Tetris	4	5	2606	2587	305.7	-81%	7.04	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Brasschaat	Partago Leo	18	19	5406	4602	262.6	-84%	2.91	117%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Boef	20	26	20517	20040	2228.9	39%	6.52	102%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Gent	Partago Theo	16	29	27980	26886	2218.6	39%	4.76	104%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
